07/08,,,,,,,,,
ACCOUNT NAME,CAMPAIGN NAME,DAILY CAP,SPEND,REVENUE,P/L,ROI,CONVERSIONS,CPM,SET CPM
AquaVital,AquaVital - US - Angle2 - 250731_03 - MR,$100.00,$99.07,$0.00,-$99.07,-100.00%,,$5.47,$5.50
AquaVital,AquaVital - US - Angle2 - 250731_04 - PR,$100.00,$100.23,$45.00,-$55.23,-55.10%,1,$3.95,$4.00
AquaVital,Account summary,,$199.31,$45.00,-$154.31,-77.42%,,,
,,,,,,,,,
LumoraBeam ,LumoraBeam - US - Angle1 - 250728_04 - MR,$200.00,$199.38,$90.00,-$109.38,-54.86%,1,$5.41,$5.50
LumoraBeam ,LumoraBeam - US - Angle2 - 250728_05 - MR,$200.00,$198.92,$90.00,-$108.92,-54.76%,1,$5.40,$5.50
LumoraBeam ,Account summary,,$398.30,$180.00,-$218.30,-54.81%,,,
,,,,,,,,,
Ruck&Recon Gloves ,Ruck&Recon Gloves - US - Angle4  - 250728_01 - PR,$100.00,$98.17,$0.00,-$98.17,-100.00%,,$3.96,$4.00
Ruck&Recon Gloves ,Ruck&Recon Gloves - US - Angle4  - 250728_02 - MR,$100.00,$98.80,$150.00,$51.21,51.83%,3,$5.44,$5.50
Ruck&Recon Gloves ,Account summary,,$196.97,$150.00,-$46.97,-23.85%,,,
,,,,,,,,,
Tactical Windshield Tool,Tactical Windshield Tool - US - Angle1 - 250730_07 - MR,$100.00,$98.91,$30.00,-$68.91,-69.67%,1,$5.47,$5.50
Tactical Windshield Tool,Tactical Windshield Tool - US - Angle2 - 250730_08 - MR,$100.00,$98.93,$30.00,-$68.93,-69.68%,1,$5.46,$5.50
Tactical Windshield Tool,Account summary,,$197.84,$60.00,-$137.84,-69.67%,,,
,,,,,,,,,
VacTonic,VacTonic - US - Angle1 - 250731_07 - MR,$100.00,$98.76,$0.00,-$98.76,-100.00%,,$5.45,$5.50
VacTonic,VacTonic - US - Angle2 - 250731_08 - MR,$100.00,$99.05,$115.00,$15.95,16.11%,1,$5.46,$5.50
VacTonic,Account summary,,$197.80,$115.00,-$82.80,-41.86%,,,
,,,,,,,,,
Vital Wrist Ball ,Vital Wrist Ball - US - Angle1 - 250731_01 - MR,$100.00,$100.07,$170.00,$69.93,69.88%,2,$5.47,$5.50
Vital Wrist Ball ,Vital Wrist Ball - US - Angle2 - 250731_02 - MR,$100.00,$99.10,$0.00,-$99.10,-100.00%,,$5.47,$5.50
Vital Wrist Ball ,Account summary,,$199.17,$170.00,-$29.17,-14.65%,,,
,,,,,,,,,
,SUMMARY,,"$1,389.39",$720.00,-$669.39,-48.18%,,,