"Campaign","Percent","Impressions","Clicks","CTR","Spend","CPM","CPC","Conversions","Conversion Value","Conversion Ratio"
"[53999] LumoraBeam - US - Angle2 - 250728_05 - MR","13.7","36850","287","0.78","198.919","5.398","0.693","1","90","0.35"
"[53998] LumoraBeam - US - Angle1 - 250728_04 - MR","13.69","36831","276","0.75","199.384","5.413","0.722","1","90","0.36"
"[54197] AquaVital - US - Angle2 - 250731_04 - PR","9.44","25391","154","0.61","100.231","3.948","0.651","1","45","0.65"
"[53994] Ruck&Recon Gloves - US - Angle4  - 250728_01 - PR","9.22","24801","166","0.67","98.172","3.958","0.591","0","0","0"
"[54187] Vital Wrist Ball - US - Angle1 - 250731_01 - MR","6.8","18291","198","1.08","100.071","5.471","0.505","2","170","1.01"
"[53995] Ruck&Recon Gloves - US - Angle4  - 250728_02 - MR","6.75","18151","197","1.09","98.795","5.443","0.501","3","150","1.52"
"[54129] Tactical Windshield Tool - US - Angle2 - 250730_08 - MR","6.74","18137","181","1","98.931","5.455","0.547","1","30","0.55"
"[54188] Vital Wrist Ball - US - Angle2 - 250731_02 - MR","6.74","18126","208","1.15","99.103","5.467","0.476","0","0","0"
"[54201] VacTonic - US - Angle1 - 250731_07 - MR","6.74","18125","182","1","98.755","5.449","0.543","0","0","0"
"[54202] VacTonic - US - Angle2 - 250731_08 - MR","6.74","18143","209","1.15","99.047","5.459","0.474","1","115","0.48"
"[54196] AquaVital - US - Angle2 - 250731_03 - MR","6.73","18102","202","1.12","99.074","5.473","0.49","1","45","0.5"
"[54127] Tactical Windshield Tool - US - Angle1 - 250730_07 - MR","6.72","18089","200","1.11","98.91","5.468","0.495","1","30","0.5"